id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141025,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,Tidak Ada,pertanian,0,0,40,2025,40,69,40,51,82,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141026,11411026,KEBIDANAN,S1,Tidak Ada,kesehatan,0,0,20,2021,24,362,24,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141026,11411026,KEBIDANAN,S1,Tidak Ada,kesehatan,0,0,20,2022,20,553,20,362,,24,24,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141026,11411026,KEBIDANAN,S1,Tidak Ada,kesehatan,0,0,20,2023,20,590,20,553,362,20,20,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141026,11411026,KEBIDANAN,S1,Tidak Ada,kesehatan,0,0,20,2024,20,472,20,590,553,20,20,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141026,11411026,KEBIDANAN,S1,Tidak Ada,kesehatan,0,0,20,2025,20,534,20,472,590,20,20,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141027,11411027,GIZI,S1,Tidak Ada,kesehatan,0,0,30,2021,30,635,30,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141027,11411027,GIZI,S1,Tidak Ada,kesehatan,0,0,30,2022,24,692,24,635,,30,30,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141027,11411027,GIZI,S1,Tidak Ada,kesehatan,0,0,30,2023,24,772,24,692,635,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141027,11411027,GIZI,S1,Tidak Ada,kesehatan,0,0,30,2024,24,580,24,772,692,24,24,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141027,11411027,GIZI,S1,Tidak Ada,kesehatan,0,0,30,2025,30,708,30,580,772,24,24,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141028,11411028,PROTEKSI TANAMAN,S1,Tidak Ada,pertanian,0,0,60,2021,42,127,42,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141028,11411028,PROTEKSI TANAMAN,S1,Tidak Ada,pertanian,0,0,60,2022,28,123,28,127,,42,42,48,21246,,
